,Year,Stage,Country,Edition,Final_Qual,ESC_Score,ESC_Rank,Score_MyESC,Rank_MyESC,Odds_Rank,Cluster,Cluster_Name,PageRank_Score,Weighted_Influence,Scaled_Influence,Poll_Score_y
0,2015,sf1,Russia,2015sf1,1.0,182.0,1.0,0.8082701768381864,3.0,1.0,2.0,Eastern European Bloc,0.0262871042592854,532.1770268131025,0.865000970248827,0.2319655857048312
1,2015,sf1,Belgium,2015sf1,1.0,149.0,2.0,0.920356335593671,2.0,0.8703703703703703,0.0,Western Core,0.023175888023682,459.7761547385974,0.7146318622718542,0.2928524156187955
2,2015,sf1,Estonia,2015sf1,1.0,105.0,3.0,1.0,1.0,0.9907407407407408,1.0,Nordic & Baltic Bloc,0.0208049662586547,430.0396103968489,0.6528721414443892,0.4917273328921244
3,2015,sf1,Georgia,2015sf1,1.0,98.0,4.0,0.7217125382262997,4.0,0.9398148148148148,2.0,Eastern European Bloc,0.0170136343798385,366.4100610561684,0.5207201617625847,0.1058901389808074
4,2015,sf1,Romania,2015sf1,1.0,89.0,5.0,0.2454460842973008,9.0,0.9444444444444444,2.0,Eastern European Bloc,0.0195349324664102,405.4500121474524,0.601802094242901,0.1072137657180675
5,2015,sf1,Greece,2015sf1,1.0,81.0,6.0,0.3992820103709613,7.0,0.9398148148148148,2.0,Eastern European Bloc,0.0257821941559614,533.2088705604866,0.8671440027761992,0.2273328921244209
6,2015,sf1,Armenia,2015sf1,1.0,77.0,7.0,0.1550325754553915,13.0,0.875,2.0,Eastern European Bloc,0.0215743309344739,436.7322535623276,0.6667720677017084,0.1598279285241562
7,2015,sf1,Hungary,2015sf1,1.0,67.0,8.0,0.1534370429464167,14.0,0.6759259259259259,2.0,Eastern European Bloc,0.0186477954677037,388.2317606497707,0.56604157030936,0.057246856386499
8,2015,sf1,Serbia,2015sf1,1.0,63.0,9.0,0.4944821167397952,6.0,0.4629629629629629,3.0,Balkan Brotherhood,0.0238622479488862,453.1609782835557,0.7008928263437886,0.21475843812045
9,2015,sf1,Albania,2015sf1,1.0,62.0,10.0,0.6158755484642999,5.0,0.8101851851851852,3.0,Balkan Brotherhood,0.0188090456329914,385.9676069736371,0.5613391577713918,0.5764394440767704
10,2015,sf1,Moldova,2015sf1,0.0,41.0,11.0,0.2413242919824491,10.0,0.1851851851851851,2.0,Eastern European Bloc,0.0225703513113106,452.2342461655868,0.6989680997773848,0.0066181336863004
11,2015,sf1,Belarus,2015sf1,0.0,39.0,12.0,0.3826618800691397,8.0,0.7268518518518517,2.0,Eastern European Bloc,0.0154853642940143,337.3216870809017,0.4603066236126529,0.0092653871608206
12,2015,sf1,Denmark,2015sf1,0.0,33.0,13.0,0.100119664938173,15.0,0.6018518518518517,1.0,Nordic & Baltic Bloc,0.0222298727579338,451.0027285187945,0.696410365254305,0.0602250165453342
13,2015,sf1,The Netherlands,2015sf1,0.0,33.0,14.0,0.374970628324268,10.523540489642183,0.71501655928158,0.0,Western Core,0.0241328326713288,497.6875708280675,0.7933699445100224,0.1795918570211867
14,2015,sf1,North Macedonia,2015sf1,0.0,28.0,15.0,0.374970628324268,10.523540489642183,0.71501655928158,3.0,Balkan Brotherhood,0.0211352352248774,446.6619120807425,0.6873949393764238,0.057246856386499
15,2015,sf1,Finland,2015sf1,0.0,13.0,16.0,0.0,16.0,0.6435185185185185,1.0,Nordic & Baltic Bloc,0.0207861770076921,404.5501543480588,0.5999331828510368,0.1015883520847121
16,2015,sf2,Sweden,2015sf2,1.0,217.0,1.0,1.0,1.0,1.0,1.0,Nordic & Baltic Bloc,0.0285996628980307,597.1773956700737,1.0,1.0
17,2015,sf2,Latvia,2015sf2,1.0,155.0,2.0,0.8438352014541048,2.0,0.9637795275590552,1.0,Nordic & Baltic Bloc,0.0193349843925405,397.8225570158353,0.5859606604118917,0.0959629384513567
18,2015,sf2,Israel,2015sf2,1.0,151.0,3.0,0.7087246289003333,4.0,0.9653543307086614,0.0,Western Core,0.0267241376328009,530.7719265197411,0.8620827225581982,0.186300463269358
19,2015,sf2,Norway,2015sf2,1.0,123.0,4.0,0.8249015449863678,3.0,0.9921259842519684,1.0,Nordic & Baltic Bloc,0.024027089421918,491.4336568175379,0.7803812132394887,0.1422898742554599
20,2015,sf2,Slovenia,2015sf2,1.0,92.0,5.0,0.6470766434413814,5.0,0.9874015748031496,3.0,Balkan Brotherhood,0.0177204082522359,372.6341505010348,0.5336469505011285,0.2835870284579748
21,2015,sf2,Cyprus,2015sf2,1.0,87.0,6.0,0.0913359588003635,16.0,0.9559055118110236,2.0,Eastern European Bloc,0.0223743011171517,461.3016157915552,0.7178000867864818,0.0228325612177365
