,Year,Stage,Rank,Country,Score,Edition
0,2015,sf1,1.0,Estonia,1.0,2015sf1
1,2015,sf1,2.0,Belgium,0.920356335593671,2015sf1
2,2015,sf1,3.0,Russia,0.8082701768381864,2015sf1
3,2015,sf1,4.0,Georgia,0.7217125382262997,2015sf1
4,2015,sf1,5.0,Albania,0.6158755484642999,2015sf1
5,2015,sf1,6.0,Serbia,0.4944821167397952,2015sf1
6,2015,sf1,7.0,Greece,0.3992820103709613,2015sf1
7,2015,sf1,8.0,Belarus,0.3826618800691397,2015sf1
8,2015,sf1,9.0,Romania,0.2454460842973008,2015sf1
9,2015,sf1,10.0,Moldova,0.2413242919824491,2015sf1
10,2015,sf1,11.0,Netherlands,0.2304214865044541,2015sf1
11,2015,sf1,12.0,NorthMacedonia,0.1729823161813588,2015sf1
12,2015,sf1,13.0,Armenia,0.1550325754553915,2015sf1
13,2015,sf1,14.0,Hungary,0.1534370429464167,2015sf1
14,2015,sf1,15.0,Denmark,0.100119664938173,2015sf1
15,2015,sf1,16.0,Finland,0.0,2015sf1
16,2015,sf2,1.0,Sweden,1.0,2015sf2
17,2015,sf2,2.0,Latvia,0.8438352014541048,2015sf2
18,2015,sf2,3.0,Norway,0.8249015449863678,2015sf2
19,2015,sf2,4.0,Israel,0.7087246289003333,2015sf2
20,2015,sf2,5.0,Slovenia,0.6470766434413814,2015sf2
21,2015,sf2,6.0,Montenegro,0.4553165707361406,2015sf2
22,2015,sf2,7.0,Azerbaijan,0.3748863980611936,2015sf2
23,2015,sf2,8.0,Ireland,0.3703423205089367,2015sf2
24,2015,sf2,9.0,Malta,0.3300514995455922,2015sf2
25,2015,sf2,10.0,Czechia,0.2538624659194183,2015sf2
26,2015,sf2,11.0,Iceland,0.2328082399272947,2015sf2
27,2015,sf2,12.0,Lithuania,0.2255377158436837,2015sf2
28,2015,sf2,13.0,Switzerland,0.2038776128445925,2015sf2
29,2015,sf2,14.0,Portugal,0.1352620418055134,2015sf2
30,2015,sf2,15.0,Poland,0.1026961526810057,2015sf2
31,2015,sf2,16.0,Cyprus,0.0913359588003635,2015sf2
32,2015,sf2,17.0,SanMarino,0.0,2015sf2
33,2015,f,1.0,Sweden,1.0,2015f
34,2015,f,2.0,Estonia,0.9150612959719788,2015f
35,2015,f,3.0,Belgium,0.8785026269702276,2015f
36,2015,f,4.0,Latvia,0.7705779334500875,2015f
37,2015,f,5.0,Italy,0.733800350262697,2015f
38,2015,f,6.0,Russia,0.6924255691768826,2015f
39,2015,f,7.0,Norway,0.5807793345008756,2015f
40,2015,f,8.0,Georgia,0.5288966725043782,2015f
41,2015,f,9.0,Australia,0.4715411558669002,2015f
42,2015,f,10.0,Israel,0.4505253940455342,2015f
43,2015,f,11.0,Albania,0.3671190893169878,2015f
44,2015,f,12.0,Slovenia,0.3261821366024518,2015f
45,2015,f,13.0,Spain,0.2683887915936953,2015f
46,2015,f,14.0,Montenegro,0.2195709281961471,2015f
47,2015,f,15.0,Serbia,0.2044658493870402,2015f
48,2015,f,16.0,Germany,0.1852014010507881,2015f
49,2015,f,17.0,Greece,0.1112084063047285,2015f
50,2015,f,18.0,Azerbaijan,0.1063922942206655,2015f
51,2015,f,19.0,Romania,0.0674255691768826,2015f
52,2015,f,20.0,France,0.0663309982486865,2015f
53,2015,f,21.0,UnitedKingdom,0.0293345008756567,2015f
54,2015,f,22.0,Lithuania,0.026707530647986,2015f
55,2015,f,23.0,Austria,0.0232049036777583,2015f
56,2015,f,24.0,Hungary,0.0205779334500875,2015f
57,2015,f,25.0,Armenia,0.0203590192644483,2015f
58,2015,f,26.0,Poland,0.0043782837127845,2015f
59,2015,f,27.0,Cyprus,0.0,2015f
60,2016,sf1,1.0,Russia,1.0000000000000002,2016sf1
61,2016,sf1,2.0,Armenia,0.908315801129443,2016sf1
62,2016,sf1,3.0,Hungary,0.5934005093566603,2016sf1
63,2016,sf1,4.0,Austria,0.5877532942088363,2016sf1
64,2016,sf1,5.0,Iceland,0.5797807551766139,2016sf1
65,2016,sf1,6.0,Croatia,0.550769571476027,2016sf1
66,2016,sf1,7.0,Czechia,0.5481120584652862,2016sf1
67,2016,sf1,8.0,Malta,0.5480013287565053,2016sf1
68,2016,sf1,9.0,Azerbaijan,0.4589746428966892,2016sf1
69,2016,sf1,10.0,Cyprus,0.4288561621082937,2016sf1
70,2016,sf1,11.0,Netherlands,0.3036208614771343,2016sf1
71,2016,sf1,12.0,Estonia,0.2034104750304506,2016sf1
72,2016,sf1,13.0,Moldova,0.1627726719078729,2016sf1
73,2016,sf1,14.0,BosniaandHerzegovina,0.1380799468497398,2016sf1
74,2016,sf1,15.0,Finland,0.1054146827593843,2016sf1
75,2016,sf1,16.0,Greece,0.0535931790499391,2016sf1
76,2016,sf1,17.0,SanMarino,0.0318901561288893,2016sf1
77,2016,sf1,18.0,Montenegro,0.0,2016sf1
78,2016,sf2,1.0,Australia,1.0,2016sf2
79,2016,sf2,2.0,Bulgaria,0.993122110722742,2016sf2
